"Freq [GHz]","re(Z(p1,p1)) []","im(Z(p1,p1)) []","re(Z(p2,p2)) []","im(Z(p2,p2)) []","re(Z(p2,p1)) []","im(Z(p2,p1)) []"
1.45,0.400057899942351,11.594880773032,0.406164439711131,11.6443092471576,0.0384607127843392,-0.715840256275506
1.452,0.412633235768106,11.6872646494379,0.418987659394012,11.7377375447122,0.040654151539866,-0.715151048357471
1.454,0.425862697441496,11.7820870259847,0.432479008428178,11.8336424521842,0.0427230317993159,-0.714396831766153
1.456,0.439790607254217,11.8794672745751,0.446683849431321,11.9321453994381,0.0446623907305416,-0.713576534921316
1.458,0.454465108177202,11.9795325980202,0.461651462374226,12.033375793969,0.0464671811504918,-0.712688852894468
1.46,0.46993856263854,12.0824186758035,0.477435454185782,12.1374716796232,0.0481322787817942,-0.711732217754295
1.462,0.486268000359217,12.188270373913,0.494094218840122,12.2445804607441,0.0496524920217356,-0.71070476643313
1.464,0.503515622229197,12.2972425261561,0.511691455124228,12.3548596993243,0.0510225747355003,-0.70960430602701
1.466,0.521749368339344,12.4095007953556,0.530296750454446,12.4684779937429,0.052237242667555,-0.708428276475301
1.468,0.541043559624759,12.5252226239404,0.549986240494603,12.5856159488174,0.0532911941569902,-0.707173710612819
1.47,0.561479624164176,12.6445982847416,0.570843355971007,12.7064672482155,0.0541791359446549,-0.705837191651435
1.472,0.58314692107111,12.7678320442819,0.59295967003338,12.8312398417903,0.0548958149719358,-0.704414808233579
1.474,0.606143677167145,12.8951434525611,0.616435861842499,12.9601572621508,0.0554360571922719,-0.702902107311761
1.476,0.63057805432687,13.02676877531,0.641382814856952,13.0934600867936,0.0557948145454749,-0.701294045252353
1.478,0.656569368623017,13.1629625869656,0.667922871641833,13.2314075644529,0.0559672213789643,-0.699584937745066
1.48,0.684249486302095,13.303999545258,0.696191271060206,13.3742794270185,0.0559486617350103,-0.697768409329815
1.482,0.71376442633379,13.4501763713491,0.726337798587016,13.5223779114883,0.0557348490529247,-0.695837343638743
1.484,0.745276204993911,13.6018140630042,0.758528686404518,13.6760300200355,0.0553219199512249,-0.693783835802648
1.486,0.77896496489496,13.7592603723796,0.792948807141569,13.8355900504571,0.0547065438453475,-0.691599148898023
1.488,0.815031439373451,13.9228925847664,0.829804213922337,14.0014424341237,0.0538860502058098,-0.68927367682369
1.49,0.853699813557212,14.0931206401569,0.869325090183621,14.1740049241813,0.0528585752493577,-0.686796916603917
1.492,0.895221056254759,14.2703906458983,0.911769186012653,14.3537321832742,0.0516232297556541,-0.684157453825954
1.494,0.939876812650494,14.4551888361139,0.957425834188774,14.5411198276036,0.0501802894822167,-0.681342965738662
1.496,0.987983967449775,14.648046042146,1.00662065951229,14.7367089928485,0.0485314092716001,-0.678340247464759
1.498,1.03990001262219,14.8495427481488,1.05972112044028,14.9410914974961,0.0466798613613477,-0.675135267804188
1.5,1.09602938456951,15.0603148172975,1.11714305390392,15.154915690607,0.0446307975668845,-0.671713262211381
1.502,1.15683097412807,15.2810599869931,1.17935843426312,15.3788930840884,0.0423915338533853,-0.668058871681938
1.504,1.22282706157124,15.5125452460325,1.24690460801929,15.6138058842264,0.0399718542862933,-0.664156337434295
1.506,1.29461399068701,15.7556152229546,1.32039533026784,15.8605155535018,0.0373843293962658,-0.659989762348019
1.508,1.37287497501062,16.0112017325024,1.40053401103576,16.1199725513437,0.034644641567884,-0.655543451028716
1.51,1.45839553063491,16.2803346458726,1.48812968508619,16.3932274209167,0.0317719071371233,-0.650802340993969
1.512,1.55208216070142,16.5641542692285,1.58411635478188,16.6814434072001,0.0287889814660642,-0.645752537681221
1.514,1.65498508610227,16.8639254320426,1.68957653200543,16.9859108075529,0.0257227294038938,-0.640381965626024
1.516,1.76832603780215,17.1810534991842,1.80577003518955,17.3080632662845,0.0226042393448865,-0.634681147119301
1.518,1.89353241576871,17.5171025230894,1.93416939922663,17.6494962238152,0.0194689547214718,-0.628644117840218
1.52,2.03227950131443,17.8738157362869,2.07650365395704,18.0119877094831,0.0163566924438428,-0.622269486379915
1.522,2.18654291596304,18.2531385359456,2.23481275474928,18.3975216096554,0.0133115137664572,-0.615561641370016
1.524,2.35866419514895,18.6572440080211,2.41151565267228,18.8083134247066,0.0103814095470147,-0.608532106474309
1.526,2.55143325041271,19.0885608416573,2.6094959357876,19.2468383092484,0.00761775894945781,-0.601201040452196
1.528,2.76819271396974,19.5498031339088,2.83221024532324,19.7158608040658,0.00507451810111472,-0.593598877883561
1.53,3.01297081161717,20.0440009812086,3.0838263925342,20.218465008389,0.00280709223295602,-0.585768107395969
1.532,3.29065165489985,20.5745297343913,3.36940044075811,20.7580828318991,0.000870839612420721,-0.577765190206403
1.534,3.60719490070198,21.1451340899882,3.69510519901848,21.3385161182059,-0.000680855252773073,-0.569662634642501
1.536,3.96992088950648,21.7599403569164,4.06852689950421,21.9639453667386,-0.00179902391783074,-0.561551264248472
