"Freq [GHz]","dB(AxialRatioValue) [] - Phi='90.0000000000002deg' Theta='90.0000000000002deg'"
1.55,0.265890116554227
1.55166666666667,0.261502174411453
1.55333333333333,0.256698163277453
1.555,0.251408256732686
1.55666666666667,0.245554953812254
1.55833333333333,0.239053949215235
1.56,0.23181643065591
1.56166666666667,0.223752703339632
1.56333333333333,0.214777760335517
1.565,0.20481898215906
1.56666666666667,0.193825810002848
1.56833333333333,0.18178114574911
1.57,0.168712818018844
1.57166666666667,0.154703606324348
1.57333333333333,0.139897826737757
1.575,0.124502851986421
1.57666666666667,0.108785829257926
1.57833333333333,0.0930686906410405
1.58,0.077729323872054
1.58166666666667,0.0632245729013383
1.58333333333333,0.0501654042823569
1.585,0.0394867007847711
1.58666666666667,0.0326323444310469
1.58833333333333,0.0310198651072358
1.59,0.0343074585668716
1.59166666666667,0.0404724699241495
1.59333333333333,0.0477618035837005
1.595,0.0552398417954093
1.59666666666667,0.0624763154960049
1.59833333333333,0.0692851963964225
1.6,0.0755961678487496
