"Freq [GHz]","dB(AxialRatioValue) [] - Phi='90.0000000000002deg' Theta='90.0000000000002deg'"
1.54,22.7387961850807
1.54166666666667,22.035410774391
1.54333333333333,21.3082583786942
1.545,20.5560303782096
1.54666666666667,19.7773570123038
1.54833333333333,18.9708185879754
1.55,18.1349588100648
1.55166666666667,17.2683069805936
1.55333333333333,16.3694076269193
1.555,15.436863200597
1.55666666666667,14.4693893568176
1.55833333333333,13.465889167423
1.56,12.4255460846215
1.56166666666667,11.3479401627917
1.56333333333333,10.2331874629129
1.565,9.08210381416747
1.56666666666667,7.89639348408353
1.56833333333333,6.67887551406209
1.57,5.43380437228508
1.57166666666667,4.16753534392107
1.57333333333333,2.89076240022829
1.575,1.63133928657876
1.57666666666667,0.622163947571571
1.57833333333333,1.25020195121229
1.58,2.47783721604199
1.58166666666667,3.74076927089191
1.58333333333333,4.99359964736883
1.585,6.22334135564103
1.58666666666667,7.42321762622883
1.58833333333333,8.58897456720392
1.59,9.71791851127901
