"Phi [deg]","dB(GainTheta) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-180,-7.21349943922487,-26.5047721942468
-178,-7.85577439127527,-26.5575222524831
-176,-8.55223825296869,-26.6731798213177
-174,-9.30893662671151,-26.8633755634307
-172,-10.1312503858987,-27.139294560007
-170,-11.0230230785958,-27.5119160298715
-168,-11.9849792227936,-27.9922663970191
-166,-13.0119475572662,-28.5915683517318
-164,-14.0882688707665,-29.3210562547211
-162,-15.1810731766543,-30.1909317536753
-160,-16.2329426765972,-31.2072053538601
-158,-17.1603538590595,-32.3634958615784
-156,-17.8701224059129,-33.6216464231668
-154,-18.2994242806815,-34.8726227568579
-152,-18.4550699230379,-35.8870854671345
-150,-18.4121757848987,-36.3467028986104
-148,-18.2734937017871,-36.0773121245698
-146,-18.1295098991572,-35.2393822129142
-144,-18.041498535592,-34.1444997133028
-142,-18.0402093559788,-33.0188277703802
-140,-18.126728750361,-31.9684608583781
-138,-18.2678196001244,-31.0287822016223
-136,-18.3851083131379,-30.2043134592786
-134,-18.3494485887286,-29.48866113844
-132,-18.0098271930516,-28.8730423745569
-130,-17.2741654221323,-28.3496166561728
-128,-16.178432769509,-27.9126126202413
-126,-14.8562932378117,-27.5585426506394
-124,-13.450931184283,-27.2860575241362
-122,-12.0633620132924,-27.0956852878507
-120,-10.7494792671278,-26.9895701594467
-118,-9.53470229795671,-26.9712719918135
-116,-8.42748149429585,-27.0456621634324
-114,-7.42779571264435,-27.2189414281118
-112,-6.53179053773924,-27.4988035789491
-110,-5.73414794174022,-27.8947738951592
-108,-5.02924914871135,-28.4187618828773
-106,-4.41172312635314,-29.085878925104
-104,-3.87669002424917,-29.9155632300744
-102,-3.41985685706661,-30.9329507084352
-100,-3.03754446394992,-32.1699425919852
-98,-2.72668502551118,-33.6634341939415
-96,-2.48480928035753,-35.4403229447069
-94,-2.31003237718034,-37.4498439837277
-92,-2.201042143886,-39.3352803818325
-90,-2.1570909890296,-40.1418986353699
-88,-2.17799142063813,-39.2441009325301
-86,-2.26411462430448,-37.4690544724053
-84,-2.41639133050055,-35.6730896606816
-82,-2.63631409190086,-34.1298069982023
-80,-2.92593988233523,-32.8652513644597
-78,-3.2878913607521,-31.847628664308
-76,-3.72535380365262,-31.0398516555315
-74,-4.24206187691493,-30.4105320600638
-72,-4.84226478318155,-29.9347722222265
-70,-5.53064745877613,-29.5928394085029
-68,-6.31216487995588,-29.3686591378983
-66,-7.19170779478496,-29.2485062047539
-64,-8.17344633183722,-29.2198840373837
-62,-9.25956852583924,-29.2704926572098
-60,-10.4479140339767,-29.3871697605322
-58,-11.7277045609843,-29.5547006507464
-56,-13.0724061473886,-29.7544452357164
-54,-14.4296579376715,-29.9628785947026
-52,-15.7125448252859,-30.1504651413136
-50,-16.8061030755982,-30.2818082769713
-48,-17.6070757211766,-30.3184802470759
-46,-18.0845865418912,-30.2255573720123
-44,-18.3025655985726,-29.9807853790365
-42,-18.3757081684675,-29.5822415078524
-40,-18.4093169336641,-29.0496579414771
-38,-18.4693971482252,-28.4183608259413
