"Phi [deg]","dB(GainTheta) [] - Freq='1.575GHz' Theta='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Theta='90.0000000000002deg'"
-36,-18.5791879177194,-27.7296875270694
-34,-18.7229796917071,-27.0228264888564
-32,-18.8486671382568,-26.3304059590124
-30,-18.8729782816013,-25.6773990204103
-28,-18.7010548694673,-25.0818936398674
-26,-18.2656270371493,-24.5565180770907
-24,-17.563884877709,-24.1098659888888
-22,-16.6568732302101,-23.7476756969296
-20,-15.6328395073132,-23.4737267615229
-18,-14.5707644321418,-23.2904944196156
-16,-13.5253089473371,-23.1996162054921
-14,-12.5281024944753,-23.2022136722137
-12,-11.5944304254639,-23.2990920050673
-10,-10.7294725106727,-23.4908156583115
-8,-9.93262275435982,-23.7776266363056
-6,-9.20012897366275,-24.1591270799286
-4,-8.52660800849639,-24.633579339798
-2,-7.90588765687937,-25.1965743586465
0,-7.33146968824744,-25.8386879959321
2,-6.79679049275763,-26.5416609467243
4,-6.29538118608103,-27.272896978859
6,-5.82098412648438,-27.979436130387
8,-5.36765589877982,-28.5860653387846
10,-4.92987011616494,-29.006665702857
12,-4.50262252078503,-29.1745944783583
14,-4.08153371274749,-29.0774767614112
16,-3.66294061863494,-28.7649246845539
18,-3.24396635028586,-28.320885123479
20,-2.8225592810807,-27.8281055477373
22,-2.39749553392414,-27.3490286624447
24,-1.9683437397742,-26.9235470605949
26,-1.5353957046414,-26.5741464175667
28,-1.09957038714813,-26.3118537792534
30,-0.662300614749257,-26.1407347533498
32,-0.225412120655599,-26.0607999460861
34,0.208996837542834,-26.0697547245047
36,0.638669125328408,-26.1640213838337
38,1.06129169902461,-26.3393311807527
40,1.47458576851729,-26.5910644432364
42,1.87638326122232,-26.9144342746637
44,2.26468937288889,-27.3045581925734
46,2.63773129096035,-27.7564348316401
48,2.99399330239693,-28.2648350755728
50,3.3322386149506,-28.8241264695107
52,3.65151842234154,-29.4280743924436
54,3.95116905314673,-30.0696984839216
56,4.23079843267691,-30.7412976408504
58,4.49026350013279,-31.4347723081981
60,4.72964059362473,-32.1423422312146
62,4.94919108075307,-32.8576597793193
64,5.14932462297205,-33.5771631494209
66,5.33056238830959,-34.301365415182
68,5.49350226444952,-35.035739618346
70,5.63878769533524,-35.7910073744451
72,5.76708121772931,-36.5829254465503
74,5.87904317690583,-37.431946965679
76,5.97531552751446,-38.3632797663677
78,6.05651014456625,-39.4078488666031
80,6.12320072890364,-40.6045270245863
82,6.17591721255483,-42.0035451036522
84,6.21514154508329,-43.6688285761678
86,6.24130384362319,-45.6655287925359
88,6.25477807700474,-47.9599340599172
90,6.25587668955331,-49.9550807715594
92,6.24484382462126,-49.971871416362
94,6.2218470683004,-47.8150162093077
96,6.18696789977628,-45.1999491934686
98,6.14019131254407,-42.8657394348805
100,6.08139536347779,-40.8846299721491
102,6.0103417062546,-39.1993533271242
104,5.92666844695309,-37.7489987757881
106,5.82988688170756,-36.4865589316501
108,5.71938378854322,-35.377417002192
110,5.59443089916353,-34.3957865894987
112,5.45420293737805,-33.5218822918198
114,5.29780516999308,-32.7400012240178
116,5.12431079377565,-32.0373008169365
118,4.93280772499256,-31.4030608706045
120,4.72245352789986,-30.8282692953148
122,4.49253637850581,-30.3054117730655
124,4.24253916155998,-29.8283733715907
126,3.97220307615178,-29.3923814281544
128,3.68158649930623,-28.9939387737733
130,3.37111434966168,-28.6307162097848
132,3.04161285019155,-28.3013919149889
134,2.69432450110347,-28.005440793935
136,2.33089839004516,-27.7428867985086
138,1.95335188067076,-27.5140355472378
140,1.56400142439305,-27.3192041541447
142,1.16536283575076,-27.1584618650642
144,0.760024758060877,-27.0313907698262
146,0.350502821565419,-26.9368721654575
148,-0.0609145560807625,-26.8729025791161
150,-0.472315563832932,-26.836445516226
152,-0.882296260634124,-26.8233320547125
154,-1.29006265120112,-26.8282359511871
156,-1.69549690262604,-26.8447650012097
158,-2.0991865331453,-26.8657235612812
160,-2.50242065362976,-26.8835993803341
162,-2.90716109266487,-26.8912963433331
164,-3.31599780754382,-26.8830651705851
166,-3.73209743087021,-26.8554894665308
168,-4.15915176251992,-26.8083067859974
170,-4.60133034925222,-26.7448389967825
172,-5.0632387063168,-26.6719013023475
174,-5.54988153197558,-26.599221699175
176,-6.06662826166975,-26.538551288589
178,-6.61917583522342,-26.5027093611238
180,-7.21349943922486,-26.5047721942472
