"Theta [deg]","dB(GainTheta) [] - Freq='1.575GHz' Phi='90.0000000000002deg'","dB(GainPhi) [] - Freq='1.575GHz' Phi='90.0000000000002deg'"
-180,-1.85651085822116,-46.0369289816043
-178,-2.27238167419526,-45.9621278167219
-176,-2.67542319597282,-45.8719618582376
-174,-3.04832764692762,-45.7590348507949
-172,-3.37182127221705,-45.6064856243555
-170,-3.62704178792758,-45.3979690569005
-168,-3.79896063130546,-45.1274530509961
-166,-3.87992970225028,-44.8046793339277
-164,-3.87192836476144,-44.454061555687
-162,-3.78642440214856,-44.1086930739344
-160,-3.64191178003225,-43.8034450506944
-158,-3.46029051596872,-43.5701827342988
-156,-3.26350241143924,-43.4357949159516
-154,-3.07128244389235,-43.4222197136609
-152,-2.90015630397679,-43.5473624691472
-150,-2.76337548612906,-43.8261013200528
-148,-2.67138462053875,-44.2708975138414
-146,-2.6325043544697,-44.8916408722841
-144,-2.65364111303082,-45.6941968663071
-142,-2.7409343944221,-46.6765964966733
-140,-2.90030991200915,-47.8207938712878
-138,-3.13793066038333,-49.0766532147634
-136,-3.46053614330396,-50.3360541749335
-134,-3.87563221405955,-51.4091124422561
-132,-4.39142423914775,-52.0519866300954
-130,-5.01622932842509,-52.0944688547335
-128,-5.75675485395031,-51.5596176626293
-126,-6.61387788052051,-50.6087778735734
-124,-7.57309360797371,-49.409814274065
-122,-8.58485923395774,-48.0845708843429
-120,-9.53208601324285,-46.7175727959721
-118,-10.205674328573,-45.3703120935185
-116,-10.365238400498,-44.0874872072637
-114,-9.92245018526999,-42.8998545062463
-112,-9.03251005146822,-41.8271493944941
-110,-7.94403553851982,-40.8813778081108
-108,-6.84198718337112,-40.0698730442586
-106,-5.82223945966911,-39.3977526731692
-104,-4.92365590674485,-38.8697567190222
-102,-4.15725059725772,-38.4916282479199
-100,-3.52235959953893,-38.2712536225062
-98,-3.01427715062131,-38.2197943930458
-96,-2.62762620864081,-38.3530758045879
-94,-2.35778952263955,-38.6936006410895
-92,-2.20150036304072,-39.2738177080031
-90,-2.1570909890296,-40.14189863537
-88,-2.22462376938765,-41.3728465186104
-86,-2.40600805799698,-43.0921298235935
-84,-2.7051498143503,-45.5330489766109
-82,-3.12814814819867,-49.2015908488048
-80,-3.68351410499308,-55.3474446685761
