"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
1.45,0.409016985493374,12.0895680765725
1.452,0.419734428800404,12.174109207909
1.454,0.430884839693195,12.2603843515203
1.456,0.442491750918337,12.3484607967917
1.458,0.454580300685213,12.4384093500173
1.46,0.467177365166527,12.5303045652908
1.462,0.480311703866961,12.6242249936168
1.464,0.494014119301863,12.7202534519194
1.466,0.508317632611033,12.8184773137998
1.468,0.523257676942869,12.9189888240933
1.47,0.538872310683625,13.021885439494
1.472,0.555202452882383,13.1272701977605
1.474,0.572292143538578,13.2352521182951
1.476,0.590188831782824,13.3459466371939
1.478,0.608943695401882,13.4594760802152
1.48,0.628611995644332,13.5759701775035
1.482,0.649253471804648,13.6955666243438
1.484,0.670932780736058,13.8184116927199
1.486,0.693719987200321,13.9446608990021
1.488,0.717691111846304,14.0744797337259
1.49,0.742928744640659,14.2080444601296
1.492,0.769522732782084,14.345542988925
1.494,0.797570953547661,14.4871758376834
1.496,0.827180184187104,14.633157184249
1.498,0.858467082945918,14.7837160247571
1.5,0.891559297623263,14.9390974481529
1.502,0.926596720824216,15.0995640406044
1.504,0.963732914340789,15.2653974348919
1.506,1.00313672899844,15.4369000217796
1.508,1.04499415096955,15.6143968425346
1.51,1.08951041114802,15.7982376842165
1.512,1.13691240090401,15.9887994021133
1.514,1.18745144565094,16.1864884968088
1.516,1.24140649747324,16.3917439768391
1.518,1.29908781998514,16.6050405417699
1.52,1.36084125311154,16.8268921248076
1.522,1.42705316323736,17.0578558387506
1.524,1.49815620595489,17.2985363741515
1.526,1.57463605546278,17.5495909039303
1.528,1.65703928782716,17.8117345541949
1.53,1.74598264645538,18.0857465064348
1.532,1.84216396937823,18.3724768011403
1.534,1.94637512202518,18.6728539165809
1.536,2.05951735964739,18.987893197921
1.538,2.18261964499529,19.3187062094504
1.54,2.31686057528441,19.6665110740289
1.542,2.46359473571026,20.0326438451977
1.544,2.62438450506174,20.4185709232328
1.546,2.80103860579112,20.825902468319
1.548,2.99565903391266,21.2564066693473
1.55,3.21069844654089,21.7120245764716
1.552,3.4490306571685,22.1948849705397
